"","Date","diff","Team","Rk"
"401",2009-04-10,7,"Miami Heat",30
"402",2009-04-12,-31,"Cleveland Cavaliers",16
"403",2009-04-14,2,"Philadelphia 76ers",14
"404",2009-04-15,8,"Washington Wizards",17
"405",2009-10-27,6,"Cleveland Cavaliers",1
"406",2009-10-28,33,"Charlotte Bobcats",20
"407",2009-10-30,28,"Chicago Bulls",16
"408",2009-11-01,10,"New Orleans Hornets",13
"409",2009-11-03,31,"Philadelphia 76ers",15
"410",2009-11-04,2,"Minnesota Timberwolves",25
"411",2009-11-06,-7,"Phoenix Suns",12
"412",2009-11-07,10,"New Jersey Nets",22
"413",2009-11-11,19,"Utah Jazz",9
"414",2009-11-13,-11,"Atlanta Hawks",10
"415",2009-11-14,-9,"Indiana Pacers",18
"416",2009-11-18,14,"Golden State Warriors",24
"417",2009-11-20,-5,"Orlando Magic",4
"418",2009-11-22,2,"New York Knicks",21
"419",2009-11-25,3,"Philadelphia 76ers",15
"420",2009-11-27,13,"Toronto Raptors",23
"421",2009-11-29,7,"Miami Heat",14
"422",2009-12-01,18,"Charlotte Bobcats",20
"423",2009-12-03,7,"San Antonio Spurs",7
"424",2009-12-04,18,"Oklahoma City Thunder",27
"425",2009-12-08,9,"Milwaukee Bucks",19
"426",2009-12-10,2,"Washington Wizards",28
"427",2009-12-12,26,"Chicago Bulls",16
"428",2009-12-14,5,"Memphis Grizzlies",26
"429",2009-12-18,-1,"Philadelphia 76ers",15
"430",2009-12-20,18,"Minnesota Timberwolves",25
"431",2009-12-22,9,"Indiana Pacers",18
"432",2009-12-25,9,"Orlando Magic",4
"433",2009-12-27,-2,"Los Angeles Clippers",30
"434",2009-12-28,-4,"Golden State Warriors",24
"435",2009-12-30,-18,"Phoenix Suns",12
"436",2010-01-02,7,"Toronto Raptors",23
"437",2010-01-06,6,"Miami Heat",14
"438",2010-01-08,-8,"Atlanta Hawks",10
"439",2010-01-10,7,"Toronto Raptors",23
"440",2010-01-11,-6,"Atlanta Hawks",10
"441",2010-01-13,24,"New Jersey Nets",22
"442",2010-01-14,-13,"Chicago Bulls",16
"443",2010-01-18,-9,"Dallas Mavericks",11
"444",2010-01-20,-6,"Detroit Pistons",17
"445",2010-01-22,3,"Portland Trail Blazers",5
"446",2010-01-25,6,"Los Angeles Clippers",30
