"","game.id","Date","team","div","conf","status","pts","diff","def.rank"
"231",116,"Wed, Nov 12, 2014","Phoenix Suns","Atlantic Division","West","h","112","8","11"
"232",116,"Wed, Nov 12, 2014","Brooklyn Nets","Atlantic Division","East","v","104","-8","20"
"233",117,"Wed, Nov 12, 2014","Washington Wizards","Central Division","East","h","107","4","15"
"234",117,"Wed, Nov 12, 2014","Detroit Pistons","Atlantic Division","East","v","103","-4","24"
"235",118,"Thu, Nov 13, 2014","Dallas Mavericks","Atlantic Division","West","h","123","53","9"
"236",118,"Thu, Nov 13, 2014","Philadelphia 76ers","Atlantic Division","East","v","70","-53","30"
"237",119,"Thu, Nov 13, 2014","Golden State Warriors","Atlantic Division","West","h","107","8","4"
"238",119,"Thu, Nov 13, 2014","Brooklyn Nets","Atlantic Division","East","v","99","-8","20"
"239",120,"Thu, Nov 13, 2014","Memphis Grizzlies","Pacific Division","West","h","111","1","13"
"240",120,"Thu, Nov 13, 2014","Sacramento Kings","Atlantic Division","East","v","110","-1","22"
"241",121,"Thu, Nov 13, 2014","Toronto Raptors","Central Division","East","h","93","-7","12"
"242",121,"Thu, Nov 13, 2014","Chicago Bulls","Atlantic Division","East","v","100","7","14"
"243",122,"Fri, Nov 14, 2014","Atlanta Hawks","Southeast Division","East","h","114","11","16"
"244",122,"Fri, Nov 14, 2014","Miami Heat","Atlantic Division","East","v","103","-11","6"
"245",123,"Fri, Nov 14, 2014","Boston Celtics","Central Division","East","h","121","-1","26"
"246",123,"Fri, Nov 14, 2014","Cleveland Cavaliers","Atlantic Division","East","v","122","1","23"
"247",124,"Fri, Nov 14, 2014","Houston Rockets","Atlantic Division","West","h","88","1","5"
"248",124,"Fri, Nov 14, 2014","Philadelphia 76ers","Atlantic Division","East","v","87","-1","30"
"249",125,"Fri, Nov 14, 2014","Indiana Pacers","Northwest Division","East","h","87","-21","8"
"250",125,"Fri, Nov 14, 2014","Denver Nuggets","Atlantic Division","East","v","108","21","19"
"251",126,"Fri, Nov 14, 2014","Los Angeles Lakers","Southwest Division","West","h","80","-13","25"
"252",126,"Fri, Nov 14, 2014","San Antonio Spurs","Atlantic Division","East","v","93","13","1"
"253",127,"Fri, Nov 14, 2014","New Orleans Pelicans","Southwest Division","West","h","139","48","21"
"254",127,"Fri, Nov 14, 2014","Minnesota Timberwolves","Atlantic Division","East","v","91","-48","10"
"255",128,"Fri, Nov 14, 2014","New York Knicks","Northwest Division","East","h","100","-2","18"
"256",128,"Fri, Nov 14, 2014","Utah Jazz","Atlantic Division","East","v","102","2","28"
"257",129,"Fri, Nov 14, 2014","Oklahoma City Thunder","Central Division","West","h","89","-7","3"
"258",129,"Fri, Nov 14, 2014","Detroit Pistons","Atlantic Division","East","v","96","7","24"
"259",130,"Fri, Nov 14, 2014","Orlando Magic","Central Division","East","h","101","16","27"
